ID,name,country,businessId
54fd05e8-633c-4788-ac40-e9b3621c8a6c,A.A. Milne,,BIZ-BBE-0001
9d1d9a84-aab6-405a-8d59-1f27d8735810,A.S. Byatt,,BIZ-BBE-0002
bca2f589-8d54-4c41-bf05-4ec93f93e4f4,Abraham Verghese,,BIZ-BBE-0003
5e2a30f7-13fa-47ae-8c44-3df1b30a6396,Agatha Christie,,BIZ-BBE-0004
fb63e02d-f0e2-45b9-b4f4-e3d661acf95d,Aimee Cabo Nikolov,,BIZ-BBE-0005
651696c4-8ed9-4257-84f9-aa2dfdc25854,Alan Moore,,BIZ-BBE-0006
bd4f9842-d013-440e-8f3e-0ccb944db9fd,Alan Paton,,BIZ-BBE-0007
abe3a5b0-576d-4f9c-908b-ac32df9a9665,Albert Camus,,BIZ-BBE-0008
bb2070df-e859-4b17-8d86-619ab75dec34,Aldous Huxley,,BIZ-BBE-0009
7fa7035e-61f4-45b0-9d06-23cbce1c38f5,Aleksandr Solzhenitsyn,,BIZ-BBE-0010
6ca7c921-3649-42a5-8262-6e8fff41327c,Alex Flinn,,BIZ-BBE-0011
ae0a283e-0203-4278-ac19-f2da73a1aebb,Alex Haley,,BIZ-BBE-0012
844648d6-f7e9-49a6-9ed6-6d402c0028cf,Alexander McCall Smith,,BIZ-BBE-0013
618dd676-255b-4ff3-b0b2-857d10c3510b,Alexander Pushkin,,BIZ-BBE-0014
ce59c119-0392-4e60-96c8-2639b7a27765,Alexandra Bracken,,BIZ-BBE-0015
108427ab-ffce-4d43-be72-85fea6196297,Alexandre Dumas,,BIZ-BBE-0016
004d6dab-419b-489d-bcce-1d331d2405bb,Alice Sebold,,BIZ-BBE-0017
2d3c8b3d-d544-4e59-8dd9-59a95da885dc,Alice Walker,,BIZ-BBE-0018
8bc91b94-a56c-440e-8cf4-7cf640413cba,Allen Ginsberg,,BIZ-BBE-0019
ff01e204-f149-4b86-81ec-bda4e11da2dc,Ally Carter,,BIZ-BBE-0020
5ee444ef-7c43-4c50-a297-204d70dfb7cf,Ally Condie,,BIZ-BBE-0021
9049da06-a224-4834-9772-8fc632d2329a,Alyson Noel,,BIZ-BBE-0022
2e39bd0a-f8d2-4cb3-86f4-f36dfbb51764,Amy Tan,,BIZ-BBE-0023
e1e478bb-071c-4546-8f92-5d38d4becb40,Andre Dubus III,,BIZ-BBE-0024
793692c8-30aa-40b8-80e4-d28627d071e7,Andrea Cremer,,BIZ-BBE-0025
7936e401-7c7d-41fe-8d8a-9e43b8f3fc31,Andrew Davidson,,BIZ-BBE-0026
f8e045fd-b731-4d8e-b5a4-5ba42a7cb0e1,André Aciman,,BIZ-BBE-0027
